Date,Price,Open,High,Low,Volume,Chg%
01-04-2019,3152.6,3169.5,3171,3151,1.13K,-0.66%
02-04-2019,3149,3154.7,3243,3145,0.07K,-0.11%
03-04-2019,3148.9,3146.2,3153.9,3140.2,0.03K,0.00%
04-04-2019,3149.2,3147.1,3150.1,3147.1,0.01K,0.01%
05-04-2019,3172.9,3160,3186.5,3160,0.01K,0.75%
08-04-2019,3218.6,3190,3228.7,3190,9.52K,1.44%
09-04-2019,3220.1,3222.5,3227.4,3212.1,9.91K,0.05%
10-04-2019,3228.1,3216.1,3229.3,3208.6,10.14K,0.25%
11-04-2019,3175,3223.2,3223.2,3173.4,13.29K,-1.64%
12-04-2019,3186.2,3183.8,3198,3180.5,9.29K,0.35%
15-04-2019,3185.6,3180,3187.4,3168,8.11K,-0.02%
16-04-2019,3154.8,3180,3186.5,3152.3,12.40K,-0.97%
17-04-2019,3148,3164.8,3164.8,3145.3,4.87K,-0.22%
18-04-2019,3146.3,3145,3161.6,3140.3,10.01K,-0.05%
22-04-2019,3159.6,3155,3178,3155,8.65K,0.42%
23-04-2019,3156.2,3160.6,3164,3145,10.93K,-0.11%
24-04-2019,3181.8,3150,3183.8,3149.9,9.21K,0.81%
25-04-2019,3191.1,3178.6,3202.5,3170.4,10.58K,0.29%
26-04-2019,3193.9,3198,3199.6,3175.8,10.41K,0.09%
30-04-2019,3175.6,3190.9,3190.9,3170.6,11.06K,-0.57%
01-05-2019,3174,3171.3,3176.4,3165.5,5.40K,-0.05%
02-05-2019,3134.5,3168.1,3168.1,3125,12.94K,-1.24%
03-05-2019,3144.7,3133.1,3147.5,3124,10.87K,0.33%
06-05-2019,3156.3,3150,3165,3147.1,10.05K,0.37%
07-05-2019,3172.9,3158.5,3174.5,3151.7,9.36K,0.53%
08-05-2019,3168.5,3175,3192.5,3166,11.16K,-0.14%
09-05-2019,3191.6,3171.3,3205,3170.8,13.55K,0.73%
10-05-2019,3190.4,3190.6,3200.3,3178.2,10.52K,-0.04%
13-05-2019,3249.8,3198.7,3253.8,3186.2,16.39K,1.86%
14-05-2019,3224.1,3245,3245.4,3223.1,11.40K,-0.79%
15-05-2019,3225.9,3232,3241.9,3215,11.67K,0.06%
16-05-2019,3197.6,3216.2,3230.9,3191.1,12.03K,-0.88%
17-05-2019,3179.1,3198.1,3202.1,3175.5,12.11K,-0.58%
20-05-2019,3153.7,3167.9,3167.9,3137.6,11.14K,-0.80%
21-05-2019,3141.6,3148,3152.4,3137.6,9.62K,-0.38%
22-05-2019,3142.2,3144,3153.8,3139.1,7.56K,0.02%
23-05-2019,3166.7,3134.7,3173.5,3123.2,10.28K,0.78%
24-05-2019,3153,3164.6,3168,3148.3,7.19K,-0.43%
27-05-2019,3161.3,3155.5,3169.5,3155.5,7.07K,0.26%
28-05-2019,3154,3162.1,3169.3,3148.5,9.24K,-0.23%
29-05-2019,3173.3,3163.4,3184.5,3162.2,10.13K,0.61%
30-05-2019,3180.9,3156,3188.4,3153.4,9.55K,0.24%
